"ProcessName","Path","Id"
"OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.16.10262.0_x64__8wekyb3d8bbwe\OpenConsole.exe","18136"
"ovpntray","C:\Program Files (x86)\OpenVPN Technologies\OpenVPN Client\core\ovpntray.exe","6292"
"PhoneExperienceHost","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.23022.140.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","3724"
"powershell_ise","C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","21156"
"Registry",,"208"
"RtkAudUService64",,"4628"
"RtkAudUService64","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_e8f1ca5219e9493c\RtkAudUService64.exe","5104"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5428"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6232"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","7408"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9944"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","14524"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","16900"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","25920"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","28548"
"SamsungMagician",,"1352"
"SamsungMagician",,"11336"
"SamsungMagician",,"12636"
"SamsungMagician",,"23740"
"SamsungMagicianSVC",,"4680"
"SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","23672"
"SearchIndexer",,"12812"
"SearchProtocolHost","C:\WINDOWS\System32\SearchProtocolHost.exe","16424"
"Secure System",,"172"
"SecurityHealthService",,"15160"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","5512"
"service",,"4604"
"services",,"1228"
"SgrmBroker",,"11820"
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","27924"
"sihost","C:\WINDOWS\system32\sihost.exe","22676"
"smartscreen","C:\Windows\System32\smartscreen.exe","23252"
"smss",,"720"
"spoolsv",,"4208"
"StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","6980"
"steam","E:\Steam\steam.exe","17052"
"steamservice",,"8828"
"steamwebhelper","E:\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","1308"
"steamwebhelper","E:\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","5820"
"steamwebhelper","E:\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","10768"
"steamwebhelper","E:\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","13808"
"steamwebhelper","E:\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","17468"
"steamwebhelper","E:\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","26440"
"steamwebhelper","E:\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","27036"
"steamwebhelper","E:\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","28164"
"svchost",,"1020"
"svchost",,"1032"
"svchost",,"1464"
"svchost","C:\WINDOWS\system32\svchost.exe","1524"
"svchost",,"1648"
"svchost",,"1696"
"svchost",,"1784"
"svchost",,"1816"
"svchost",,"1828"
"svchost",,"1840"
"svchost",,"1864"
"svchost",,"1924"
"svchost",,"1956"
"svchost",,"2072"
"svchost",,"2128"
"svchost",,"2168"
"svchost",,"2216"
"svchost",,"2332"
"svchost",,"2456"
"svchost",,"2512"
"svchost",,"2572"
"svchost",,"2680"
"svchost",,"2732"
"svchost",,"2760"
"svchost",,"2800"
"svchost",,"2808"
"svchost",,"2816"
"svchost",,"2880"
"svchost",,"2984"
"svchost",,"3076"
"svchost",,"3120"
"svchost",,"3220"
"svchost",,"3272"
"svchost",,"3396"
"svchost",,"3428"
"svchost",,"3488"
"svchost",,"3552"
"svchost",,"3680"
"svchost",,"3716"
"svchost",,"3780"
"svchost",,"3844"
"svchost",,"3904"
"svchost",,"3912"
"svchost",,"4124"
"svchost",,"4284"
"svchost",,"4536"
"svchost","C:\WINDOWS\system32\svchost.exe","4544"
"svchost",,"4556"
"svchost",,"4576"
"svchost",,"4732"
"svchost",,"4796"
"svchost",,"4828"
"svchost",,"4856"
"svchost",,"5608"
"svchost",,"5792"
"svchost",,"5892"
"svchost",,"6672"
"svchost",,"7092"
"svchost",,"7816"
"svchost",,"8016"
"svchost",,"8296"
"svchost",,"8792"
"svchost",,"9628"
"svchost",,"9932"
"svchost",,"10008"
"svchost",,"10364"
"svchost",,"10736"
"svchost",,"10816"
"svchost",,"10900"
"svchost",,"10908"
"svchost",,"11032"
"svchost",,"11640"
"svchost",,"11728"
"svchost",,"11796"
"svchost",,"13816"
"svchost",,"14476"
"svchost","C:\WINDOWS\System32\svchost.exe","14796"
"svchost",,"14964"
"svchost",,"15292"
"svchost","C:\WINDOWS\system32\svchost.exe","15652"
"svchost",,"16264"
"svchost","C:\WINDOWS\system32\svchost.exe","16880"
"svchost",,"17264"
"svchost",,"17616"
"svchost",,"19424"
"svchost","C:\WINDOWS\system32\svchost.exe","19708"
"svchost",,"19772"
"svchost",,"20668"
"svchost",,"20688"
"svchost",,"24056"
"svchost",,"24632"
"svchost","C:\WINDOWS\system32\svchost.exe","25676"
"svchost",,"25876"
"svchost","C:\WINDOWS\system32\svchost.exe","26252"
"svchost",,"26540"
"svchost",,"26936"
"System",,"4"
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","21184"
"taskhostw","C:\WINDOWS\system32\taskhostw.exe","16036"
"TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","9168"
"uhssvc",,"24684"
"unsecapp","C:\WINDOWS\system32\wbem\unsecapp.exe","26148"
"vmcompute",,"4808"
"vmmemCmZygote",,"10360"
"vmmemMDAG",,"13484"
"vmwp",,"24992"
"VoiceControl_Service",,"4656"
"VoiceControlEngine",,"15112"
"Widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_423.5900.0.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","17016"
"WidgetService","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_423.5900.0.0_x64__cw5n1h2txyewy\Dashboard\widgetservice.exe","21568"
"WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.16.10262.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","15988"
"wininit",,"1156"
"winlogon",,"13600"
"wlanext",,"5704"
"WmiApSrv",,"26244"
"WmiPrvSE",,"4260"
"WmiPrvSE",,"5616"
"WmiPrvSE",,"9008"
"WUDFHost",,"1516"
"xTendUtility",,"7536"
"xTendUtilityService",,"5356"
"YourPhoneAppProxy","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.23022.140.0_x64__8wekyb3d8bbwe\YourPhoneAppProxy.exe","26736"
